id,lat,lng,coord_source,coord_precision,name,province
3-106-68/63สค,13.5357,100.1979,sibling,exact,บริษัท สมูธ อินเตอร์เนชั่นแนล จำกัด,สมุทรสาคร
3-106-7/68นฐ,13.975186667962,100.11347976405,sibling,exact,บริษัท แอลวาย เมทัล อินดัสทรี จำกัด,นครปฐม
3-106-8/62สค,13.54137024,100.2217054,sibling,exact,บริษัท ไทย ฟอร์จูน เม็ททอล จำกัด,สมุทรสาคร
3-106-9/56ชบ,13.08167,101.02667,sibling,exact,บริษัท รชต รุ่งเรือง รีไซเคิล แอนด์ คอนสตรัคชั่น จำกัด,ชลบุรี
3-106-9/62ฉช,13.734225,101.426136,sibling,exact,บริษัท พาเพิ่มทรัพย์ จำกัด,ฉะเชิงเทรา
3-106-91/60สค,13.707016666667,100.2914,sibling,exact,บริษัท บีสไพพ์ฟิตติ้งอินดัสตรี จำกัด,สมุทรสาคร
3-14-6/66สค,13.562212,100.301878,sibling,exact,บริษัท น้ำเเข็งสินชัย (1995) จำกัด,สมุทรสาคร
3-2(1)-12/64ฉช,13.9516,100.97423,sibling,exact,บริษัท โรงสีสำเภาทอง จำกัด,ฉะเชิงเทรา
3-2(1)-49/58กจ,14.10549,99.6642,sibling,exact,บริษัท กิจเจริญชัย รุ่งเรือง จำกัด,กาญจนบุรี
3-2(5)-5/65ชบ,12.617615,100.930469,sibling,exact,บริษัท ไตรโคเนียร์ แอ็คมี จำกัด,ชลบุรี
3-20(1)-8/67,13.62585,100.401,sibling,exact,บริษัท ทีพีเอ็น ควอลิตี้ ดริงส์ จำกัด,กรุงเทพมหานคร
3-21(1)-1/57พร,17.980325062036,100.06342291832,sibling,exact,โรงอบใบยาเด่นชัย (2),แพร่
3-22(2)-9/62สค,13.5701,100.26606666667,sibling,exact,นายจีระ หล่อวัฒนกิจชัย,สมุทรสาคร
3-24-14/51อท,14.689664,100.396866,sibling,exact,บริษัท นำรุ่ง เรย่อน จำกัด,อ่างทอง
3-24-7/61ปจ,14.019,101.70083,sibling,exact,บริษัท เอ เทค เท็กซ์ไทล์ จำกัด,ปราจีนบุรี
3-28(1)-5/59,13.694986,100.45679,sibling,exact,บริษัท แฟนซี อาร์ท จำกัด,กรุงเทพมหานคร
3-32(2)-1/68สป,13.612616666667,100.66541666667,sibling,exact,บริษัท อัลฟ่า อินโนเวชั่น จำกัด,สมุทรปราการ
3-34(1)-11/67ชบ,13.08067,101.1205,sibling,exact,บริษัท แสงศิริ กรุ๊ป จำกัด,ชลบุรี
3-34(3)-1/66ลป,18.160494,99.508243,sibling,exact,บริษัท เอ็น เอส เอ็นเนอร์ยี่ จำกัด,ลำปาง
3-34(3)-16/61กจ,13.90123,99.77251,sibling,exact,บริษัท เมโทร พาเนล จำกัด,กาญจนบุรี
3-34(3)-4/65บร,14.755746607681,103.0602393037,sibling,exact,บริษัท ซานซึงหยวนวูด จำกัด,บุรีรัมย์
3-34(4)-53/64ลย,17.661417,101.426724,sibling,exact,บริษัท ที.ท๊อปพลัส อิมพอร์ท เอ็กซ์พอร์ท จำกัด,เลย
3-37-89/62สป,13.630246,100.689736,sibling,exact,บริษัท ยูโตะ-คอสโม (ประเทศไทย) จำกัด,สมุทรปราการ
3-38(1)-1/67นบ,14.04515,100.28266666667,sibling,exact,บริษัท อีโค่ เฟรนด์ลี่ ไทย จำกัด,นนทบุรี
3-38(2)-1/56ปจ,13.92212,101.57767,sibling,exact,บริษัท ดั๊บเบิ้ล เอ (1991) จำกัด (มหาชน),ปราจีนบุรี
3-38(2)-1/57รบ,13.85261,99.84682,sibling,exact,บริษัท สยามนิปปอน อินดัสเตรียล เปเปอร์ จำกัด,ราชบุรี
3-4(3)-5/62สค,13.629866666667,100.31806666667,sibling,exact,บริษัท เอ็นอาร์ อินสแตนท์ โปรดัวช์ จำกัด,สมุทรสาคร
3-43(1)-1/30สป,13.60871667,100.5519833,sibling,exact,บริษัท สยามเฆมี จำกัด (มหาชน),สมุทรปราการ
3-47(2)-1/62สค,13.6277,100.29405,sibling,exact,บริษัท เอไอ เอนเนอร์จี จำกัด (มหาชน),สมุทรสาคร
3-5(1)-3/58ปท,14.105516666667,100.59286666667,sibling,exact,บริษัท โออิชิ เทรดดิ้ง จำกัด,ปทุมธานี
3-50(4)-1/66ขก,15.745566011065,102.7679257575,sibling,exact,ห้างหุ้นส่วนจำกัด ณัฐพลก่อสร้าง,ขอนแก่น
3-52(2)-8/60สค,13.685643394079,100.2782732298,sibling,exact,บริษัท เคทองลี่ รับเบอร์ เทคโนโลยี จำกัด,สมุทรสาคร
3-52(4)-8/65รย,12.890483333333,101.0988,sibling,exact,บริษัท พร๊อสไพร่า (ประเทศไทย) จำกัด,ระยอง
3-53(1)-37/63สค,13.6251,100.35868333333,sibling,exact,บริษัท ที.ซี.โพลีเวิร์ค จำกัด,สมุทรสาคร
3-53(1)-45/67สป,13.61869,100.81268,sibling,exact,บริษัท โพลีเน็ต จำกัด (มหาชน),สมุทรปราการ
3-53(4)-39/61สค,13.45117,100.07488,sibling,exact,บริษัท เอเชี่ยน โกลบอล โฮลดิ้ง จำกัด,สมุทรสาคร
3-53(5)-17/63ฉช,13.58897,100.92333,sibling,exact,บริษัท สยาม อีโค-คาเซ จำกัด,ฉะเชิงเทรา
3-53(5)-19/56สฎ,9.0526397459483,99.175248686115,sibling,exact,บริษัท เซ้าเทิร์น ร็อคส์ จำกัด,สุราษฎร์ธานี
3-53(5)-59/65ฉช,13.59986,100.999691,sibling,exact,บริษัท โฟลทิลลา เทคโนโลยี จำกัด,ฉะเชิงเทรา
3-57(1)-1/58รบ,13.85261,99.84682,sibling,exact,บริษัท สุรินทร์ ออมย่า เคมิคอล (ประเทศไทย) จำกัด,ราชบุรี
3-59-7/59สป,13.62951,100.56518,sibling,exact,บริษัท ไทยเทค สตีล (2013) จำกัด,สมุทรปราการ
3-63(1)-1/64,13.63385,100.43333333333,sibling,exact,บริษัท ธ.โลหะเกษมโชค จำกัด,กรุงเทพมหานคร
3-63(1)-4/62สบ,14.32576,100.98418,sibling,exact,บริษัท อิตาเลียนไทย ดีเวล๊อปเมนต์ จำกัด (มหาชน),สระบุรี
3-63(2)-28/63,13.610841389074,100.42327573894,sibling,exact,บริษัท ทีรกร อินดัสทรี จำกัด,กรุงเทพมหานคร
3-64(1)-3/65ฉช,13.5703186,100.9358553,sibling,exact,บริษัท ยูเนี่ยนโชจิรุชิ จำกัด,ฉะเชิงเทรา
3-64(13)-66/63สค,13.535003,100.178813,sibling,exact,บริษัท วีรับเบอร์ คอร์ปอเรชั่น จำกัด,สมุทรสาคร
3-7(1)-15/53ปน,6.8152,101.1563,sibling,exact,บริษัท ปาล์มพัฒนาชายแดนใต้ จำกัด,ปัตตานี
3-7(5)-1/68รบ,13.58742,99.808566,sibling,exact,บริษัท คิวพี (ประเทศไทย) จำกัด,ราชบุรี
3-70-12/63ฉช,13.59986,100.999691,sibling,exact,บริษัท พี.ซี.ทาคาชิมา (ประเทศไทย) จำกัด,ฉะเชิงเทรา
3-73-5/61รย,12.883666666667,101.09645,sibling,exact,บริษัท กรุ๊ป แอตแลนติก (ประเทศไทย) จำกัด,ระยอง
3-77(2)-27/59สป,13.62155,100.74514,sibling,exact,บริษัท โมเดิร์น โปรดักส์ อินดัสตรี จำกัด,สมุทรปราการ
3-79(1)-1/63ปท,14.02645,100.61606666667,sibling,exact,บริษัท แอดวานซ์ กราวด์ ซิสเต็ม (ประเทศไทย) จำกัด,ปทุมธานี
3-8(1)-15/60สค,13.6467,100.32066666667,sibling,exact,บริษัท รอแยลแคนอินดัสทรีส์ จำกัด,สมุทรสาคร
3-87(5)-2/58,13.609487335595,100.42465405428,sibling,exact,บริษัท ซายน์ เวิร์คส จำกัด,กรุงเทพมหานคร
3-88-151/56สก,13.78091,102.21181,sibling,exact,บริษัท อี เอส พลังงาน จำกัด,สระแก้ว
3-88(1)-13/64ชบ,13.40933,101.00433,sibling,exact,บริษัท อิมแพคท์ โซล่าร์ กรุ๊ป (ประเทศไทย) จำกัด,ชลบุรี
3-88(1)-15/62ปจ,13.95309,101.8288,sibling,exact,บริษัท เอสซีจี เปเปอร์ เอ็นเนอร์ยี่ จำกัด,ปราจีนบุรี
3-88(1)-17/50ฉช,13.57712,101.0044,sibling,exact,บริษัท บางกอกโซลาร์ พาวเวอร์ จำกัด,ฉะเชิงเทรา
3-88(1)-20/61สป,13.599316666667,100.77576666667,sibling,exact,บริษัท ไทยรุ่งเท็กซ์ไทล์ จำกัด,สมุทรปราการ
3-88(1)-26/63อบ,15.09148,105.02589,sibling,exact,บริษัท อุบลแสงอาทิตย์ จำกัด,อุบลราชธานี
3-88(1)-38/61นม,15.139241416848,101.52437778445,sibling,exact,โรงไฟฟ้าพลังงานแสงอาทิตย์แบบทุ่นลอยน้ำ ขนาด 997 kWp,นครราชสีมา
3-88(1)-41/66พบ,13.2891,99.80697,sibling,exact,บริษัท กังวาล เอ็นเนอร์จี จำกัด,เพชรบุรี
3-88(1)-44/66สค,13.604566666667,100.26753333333,sibling,exact,บริษัท ไฮยาพาโดส จำกัด,สมุทรสาคร
3-88(1)-46/53สบ,14.543294923677,100.9644692168,sibling,exact,บริษัท สระบุรี โซล่าร์ จำกัด,สระบุรี
3-88(1)-49/65สบ,14.58392,100.97183,sibling,exact,บริษัท โซล่าร์ รูฟท็อป ซีอี 16 จำกัด,สระบุรี
3-88(1)-5/65สบ,14.35262,100.81565,sibling,exact,บริษัท เอสซีจี เซรามิกส์ จำกัด (มหาชน),สระบุรี
3-88(1)-52/61สป,13.599581,100.71588,sibling,exact,บริษัท โซลาร์ เอนเนอร์ยี่ โซไซตี้ จำกัด สาขาเทพารักษ์,สมุทรปราการ
3-88(1)-87/67พบ,12.822370116447,99.9061526835,sibling,exact,บริษัท อิเควเตอร์ โซลาร์ จำกัด (โครงการ 21),เพชรบุรี
3-88(1)-9/67สค,13.508116666667,100.13278333333,sibling,exact,บริษัท โซล่าร์ รูฟท็อป ซีอี 2 จำกัด,สมุทรสาคร
3-88(1)-98/67ฉช,13.78849,100.95414,sibling,exact,บริษัท สิงคโปร์ เพาเวอร์ เอนเนอร์จี (ประเทศไทย) จำกัด,ฉะเชิงเทรา
3-88(2)-11/52ตง,7.55639,99.43906,sibling,exact,บริษัท ตรังน้ำมันปาล์ม จำกัด,ตรัง
3-88(2)-124/54ศก,14.70847,104.482773,sibling,exact,บริษัท พ.ศ.ช.ผลิตภัณฑ์อาหาร จำกัด,ศรีสะเกษ
3-88(2)-131/56นฐ,13.968113603221,100.14771958139,sibling,exact,บริษัท เคซีเอฟ พลังงานสีเขียว จำกัด,นครปฐม
3-88(2)-14/52ตง,7.710187,99.320978,sibling,exact,บริษัท ล่ำสูง (ประเทศไทย) จำกัด (มหาชน),ตรัง
3-88(2)-18/53มห,16.696947,104.67299,sibling,exact,บริษัท พรีเมียร์ไบโอเอนเนอร์จี จำกัด,มุกดาหาร
3-88(2)-2/47สพ,14.84512,99.75924,sibling,exact,บริษัท มิตรผล ไบโอ-เพาเวอร์ (ด่านช้าง) จำกัด,สุพรรณบุรี
3-88(2)-2/56กจ,13.875347,99.807416,sibling,exact,บริษัท ไทยกาญจนบุรี เพาเวอร์ จำกัด,กาญจนบุรี
3-88(2)-2/62ปน,6.8165,101.1533,sibling,exact,บริษัท ปัตตานีมุ่งพัฒนาไบโอแก๊ส จำกัด,ปัตตานี
3-88(2)-21/52กบ,8.57754,98.92013,sibling,exact,บริษัท ยูนิวานิชน้ำมันปาล์ม จำกัด (มหาชน) สาขาปลายพระยา,กระบี่
3-88(2)-23/53ชพ,10.42559,99.12986,sibling,exact,บริษัท วีจี เอ็นเนอร์ยี จำกัด,ชุมพร
3-88(2)-26/52กบ,8.15372,99.02201,sibling,exact,บริษัท สหอุตสาหกรรมน้ำมันปาล์ม จำกัด (มหาชน),กระบี่
3-88(2)-29/52ขก,16.80935,103.08841,sibling,exact,บริษัท แก่นเจริญ จำกัด,ขอนแก่น
3-88(2)-3/40สบ,14.56248,100.96901,sibling,exact,บริษัท ไทยอคริลิคไฟเบอร์ จำกัด,สระบุรี
3-88(2)-3/48สค,13.676661,100.284234,sibling,exact,บริษัท นันยาง เอ็นเนอร์ยี่ จำกัด,สมุทรสาคร
3-88(2)-31/52จบ,13.10096,102.30336,sibling,exact,บริษัท จันทบุรี สตาร์ช จำกัด,จันทบุรี
3-88(2)-31/54นม,14.93098,102.14016,sibling,exact,บริษัท สงวนวงษ์อุตสาหกรรม จำกัด,นครราชสีมา
3-88(2)-32/54ชบ,13.15793,101.33574,sibling,exact,บริษัท พลังงานสุขสมบูรณ์ จำกัด,ชลบุรี
3-88(2)-32/56ลบ,15.345217387468,101.20318159502,sibling,exact,บริษัท บลูเวฟ เอ็นเนอยี่ จำกัด,ลพบุรี
3-88(2)-33/54อบ,15.07312,104.99548,sibling,exact,บริษัท อุบลซันฟลาวเวอร์ จำกัด,อุบลราชธานี
3-88(2)-35/52กบ,7.99666,99.33072,sibling,exact,บริษัท ยูนิวานิชน้ำมันปาล์ม จำกัด (มหาชน) สาขาลำทับ,กระบี่
3-88(2)-42/52กจ,13.943028,99.668893,sibling,exact,บริษัท ไทย ซาน มิเกล ลิเคอร์ จำกัด,กาญจนบุรี
3-88(2)-45/54ตก,16.856272235389,98.58413502574,sibling,exact,บริษัท ไทยวา จำกัด (มหาชน),ตาก
3-88(2)-47/55รอ,16.276802,104.01133,sibling,exact,บริษัท แอ๊ดวานซ์ คลีน เพาเวอร์ จำกัด,ร้อยเอ็ด
3-88(2)-5/59อบ,14.489609,105.068118,sibling,exact,บริษัท อี อี เอส รีนิวเอเบิล จำกัด,อุบลราชธานี
3-88(2)-51/54ชม,18.60222,98.80658,sibling,exact,บริษัท ซัน สวีท จำกัด (มหาชน),เชียงใหม่
3-88(2)-66/53รย,12.757516666667,101.16235,sibling,exact,บริษัท โกลบอล เพาเวอร์ ซินเนอร์ยี่ จำกัด (มหาชน),ระยอง
3-88(2)-67/53ตก,16.67179,98.59803,sibling,exact,บริษัท แม่สอดพลังงานสะอาด จำกัด,ตาก
3-88(2)-7/53อท,14.58699,100.30822,sibling,exact,บริษัท ก๊าซชีวภาพ เอ็นจิเนียริ่ง จำกัด,อ่างทอง
3-88(2)-7/63นม,15.12571,101.5421,sibling,exact,บริษัท ห้วยบง ไบโอเทค จำกัด,นครราชสีมา
3-88(2)-70/53ชย,15.58931,101.90163,sibling,exact,บริษัท มามาดีเวลลอปเมนท์ จำกัด,ชัยภูมิ
3-88(2)-75/53บร,14.791670083817,102.5955166415,sibling,exact,บริษัท เวลล์ โคราช เอ็นเนอร์ยี จำกัด,บุรีรัมย์
3-88(2)-79/53กบ,8.26395,99.08522,sibling,exact,บริษัท นามหงษ์ พาวเวอร์ จำกัด,กระบี่
3-88(2)-8/51รอ,16.08354,103.64465,sibling,exact,บริษัท บัวสมหมายผลิตไฟฟ้า จำกัด,ร้อยเอ็ด
3-88(2)-80/53กบ,8.51449,98.69436,sibling,exact,บริษัท โมเดิร์น กรีน พาวเวอร์ จำกัด,กระบี่
3-88(2)-82/53ศก,14.74048,104.67126,sibling,exact,บริษัท เอี่ยมศิริ ไบโอก๊าซ จำกัด,ศรีสะเกษ
3-88(2)-83/57สบ,14.83944,101.072033,sibling,exact,บริษัท ร่วมกำลาภพาวเวอร์ จำกัด,สระบุรี
3-88(2)-9/49สร,14.575995,103.33982,sibling,exact,บริษัท ไฟฟ้าสุรินทร์ จำกัด,สุรินทร์
3-88(2)-93/54นม,14.41529,102.42204,sibling,exact,บริษัท เค.อาร์.คลีนเอ็นเนอร์ยี่ จำกัด (สาขา1),นครราชสีมา
3-88(2)-96/56พจ,16.117504,100.206368,sibling,exact,บริษัท พิจิตรไบโอเพาเวอร์ จำกัด,พิจิตร
3-89-2/67ยส,15.79025036975,104.27859753253,sibling,exact,บริษัท พนาพาวเวอร์ จำกัด,ยโสธร
3-89-29/57อบ,15.07312,104.99548,sibling,exact,บริษัท อุบล ไบโอ เอทานอล จำกัด (มหาชน),อุบลราชธานี
3-9(1)-14/66ศก,15.447876261175,104.1414891495,sibling,exact,บริษัท ยิ่งดี 99 จำกัด,ศรีสะเกษ
