id,registration_display,fid,name,factory_type,province,district,sub_district,address_full,lat,lng,coord_source,last_seen_in_feed,absent_from_feed_as_of
จ3-41(1)-6/44นบ,จ3-41(1)-6/44นบ,"=""20120100625443""",บริษัท โทคุ จำกัด,3,นนทบุรี,ไทรน้อย,ไทรน้อย,63/9 ม.1 ถ.บางกรวย-ไทรน้อย,13.965683333333,100.34786666667,gov,2026-08-22T20:04:28.82868+00:00,2026-08-25T20:13:54.698924+00:00
จ3-41(1)-6/54นบ,จ3-41(1)-6/54นบ,"=""20120000625543""",บริษัท เพอร์เฟค เพรส จำกัด,3,นนทบุรี,ปากเกร็ด,คลองข่อย,12/20 ม.10 ถ.กาญจนาภิเษก,13.98205,100.424,gov,2026-08-22T20:04:28.82868+00:00,2026-08-25T20:13:54.698924+00:00
จ3-41(1)-6/55นบ,จ3-41(1)-6/55นบ,"=""20120100625559""",บริษัท ปัญญฉัตร์ บุ๊คส์ บายดิ้ง จำกัด,3,นนทบุรี,บางใหญ่,เสาธงหิน,36 ม.8,13.8844081715571,100.397677123547,geocoded,2026-08-22T20:04:28.82868+00:00,2026-08-25T20:13:54.698924+00:00
จ3-41(1)-6/59นฐ,จ3-41(1)-6/59นฐ,"=""20730000625598""",บริษัท จิไท จำกัด,3,นครปฐม,สามพราน,ไร่ขิง,98/67 ม.11 ถ.พุทธมณฑลสาย 5,13.714307788212,100.27111210738,gov,2026-08-22T20:04:28.82868+00:00,2026-08-25T20:13:54.698924+00:00
จ3-41(1)-6/60นฐ,จ3-41(1)-6/60นฐ,"=""20730200625604""",บริษัท ควอเดล โซลูขั่น พริ้นติ้ง จำกัด,3,นครปฐม,บางเลน,นราภิรมย์,149 ม.1,13.940172909798,100.24412747671,gov,2026-08-22T20:04:28.82868+00:00,2026-08-25T20:13:54.698924+00:00
จ3-41(1)-6/61สค,จ3-41(1)-6/61สค,"=""20740100625612""",บริษัท 98 เพรส แอนด์ แพคกิ้ง จำกัด,3,สมุทรสาคร,เมืองสมุทรสาคร,บางน้ำจืด,99/88-89 ม.5,13.614,100.363,centroid,2026-08-22T20:04:28.82868+00:00,2026-08-25T20:13:54.698924+00:00
จ3-41(1)-6/65รย,จ3-41(1)-6/65รย,"=""20210051525658""",บริษัท คิวเอส ปริ้นติ้ง จำกัด,3,ระยอง,ปลวกแดง,มาบยางพร,888/10 ม.4,12.97,101.136,centroid,2026-08-22T20:04:28.82868+00:00,2026-08-25T20:13:54.698924+00:00
จ3-41(1)-7/53นบ,จ3-41(1)-7/53นบ,"=""20120100725532""",บริษัท คิว แอดเวอร์ไทซิ่ง จำกัด,3,นนทบุรี,เมืองนนทบุรี,บางเขน,45/78 ม.2 ซ.งามวงศ์วาน 4 ถ.งามวงศ์วาน,13.85603,100.5313,gov,2026-08-22T20:04:28.82868+00:00,2026-08-25T20:13:54.698924+00:00
จ3-41(1)-7/54นฐ,จ3-41(1)-7/54นฐ,"=""20730300725544""",บริษัท ซัน แพคเกจจิ้ง (2010) จำกัด,3,นครปฐม,เมืองนครปฐม,พระปฐมเจดีย์,393 ถ.เพชรเกษม,13.814672,100.091797,gov,2026-08-22T20:04:28.82868+00:00,2026-08-25T20:13:54.698924+00:00
จ3-41(1)-7/66ฉช,จ3-41(1)-7/66ฉช,"=""20240058525666""",บริษัท ชริ้งเฟล็กซ์ (ประเทศไทย) จำกัด (มหาชน,3,ฉะเชิงเทรา,บางปะกง,บางปะกง,88/8 ม.12,13.496,100.966,centroid,2026-08-22T20:04:28.82868+00:00,2026-08-25T20:13:54.698924+00:00
จ3-41(1)-8/50กส,จ3-41(1)-8/50กส,"=""20460000825507""",ห้างหุ้นส่วนจำกัด กาฬสินธุ์การพิมพ์,3,กาฬสินธุ์,เมืองกาฬสินธุ์,กาฬสินธุ์,"338/12-13,55-58 ถ.กุดยางสามัคคี",16.42716,103.48923,gov,2026-08-22T20:04:28.82868+00:00,2026-08-25T20:13:54.698924+00:00
จ3-41(1)-8/60นฐ,จ3-41(1)-8/60นฐ,"=""20730200825600""",บริษัท รอยัล เปเปอร์ ฟอร์ม จำกัด,3,นครปฐม,สามพราน,ไร่ขิง,123 ม.10 ซ.ไร่ขิง 30 ถ.พุทธมณฑลสาย 5,13.749541419966,100.28234224896,gov,2026-08-22T20:04:28.82868+00:00,2026-08-25T20:13:54.698924+00:00
จ3-41(1)-8/66ฉช,จ3-41(1)-8/66ฉช,"=""20240059125664""",บริษัท ซ่างหยุ่น แพคเกจจิ้ง (ประเทศไทย) จำกัด,3,ฉะเชิงเทรา,บางปะกง,บางวัว,88/89 ม.9,13.569,100.964,centroid,2026-08-22T20:04:28.82868+00:00,2026-08-25T20:13:54.698924+00:00
จ3-41(1)-9/53สป,จ3-41(1)-9/53สป,"=""20110100925539""",บริษัท มุกไมตรีการพิมพ์ จำกัด,3,สมุทรปราการ,บางพลี,บางพลีใหญ่,229/12 ม.12 ถ.บางนา-ตราด,13.63907,100.70063,gov,2026-08-22T20:04:28.82868+00:00,2026-08-25T20:13:54.698924+00:00
จ3-41(1)-9/58ปท,จ3-41(1)-9/58ปท,"=""20130100925586""",บริษัท สไมล์ สยาม พริ้นติ้ง เซอร์วิส จำกัด,3,ปทุมธานี,ลำลูกกา,ลำลูกกา,โฉนดที่ดินเลขที่ 76431 ม.17 ถ.เลีบยคลองหกวาสายล่าง,13.9437889304169,100.790101736784,geocoded,2026-08-22T20:04:28.82868+00:00,2026-08-25T20:13:54.698924+00:00
